"name","box_office","profit"
"Avengers: Endgame","356000000","2443439100"
"Avengers: Infinity War","321000000","1731415039"
"Spider-Man: No Way Home","200000000","1721847111"
"Top Gun: Maverick","170000000","1318732821"
"Harry Potter and the Deathly Hallows: Part 2","125000000","1217359942"
"The Lord of the Rings: The Return of the King","94000000","1052457748"
"Jurassic Park","63000000","1046802321"
"Joker","55000000","1019458282"
"The Lion King","45000000","923511805"
"Toy Story 3","200000000","867316101"
